1.64989529,-0.26558685,-0.55928732,-0.01680719,0.17843987,0.32549915,0.63720985,0.30114203,0.83107396,-0.53997295,-0.50378643,0.76854017
-0.35964472,0.12479087,-0.04305330,-0.61037258,0.22720884,0.05673808,0.57822413,-0.03628277,-1.83164428,-0.11561039,0.15028088,-1.49131509
0.20757952,-1.30544794,0.52407317,1.70848408,-0.08613958,-0.05075308,0.30561474,0.92480849,0.02591551,1.23989280,-0.16899667,0.45551894
0.02645047,-0.34244170,-0.15964212,-0.38539969,-0.74897862,0.70670566,-0.35479175,-0.15119593,-0.03343587,-0.51613840,-0.20189061,-0.03829291
-0.00144920,0.20364751,0.08170771,-0.07385647,-0.36078076,0.13045016,-0.12114652,-0.15905735,-0.03846355,-0.02826342,-0.09074553,-0.02985350
-0.93258350,0.20021257,-0.35700132,-0.70972531,-0.10946453,-0.52718760,-1.20201529,-0.87846670,-1.43557376,-0.69302762,-0.23050033,-1.23760642
-0.74398479,-0.04698907,-0.53827422,-0.25073231,-0.18917099,-0.26594218,-0.83900369,-0.62914497,-1.18314993,-0.58730855,-0.06218712,-0.89097200
-1.24012849,-0.67218585,-0.33345606,-0.37276609,-0.58650826,-0.10105416,-0.71364674,-0.61869046,-0.98991626,-0.44803024,-0.35845471,-0.93521224
-0.77374624,-0.43884866,-0.23132705,-0.24882242,-0.33460318,-0.32180853,-0.61458529,-0.48095249,-0.87956326,-0.47601361,-0.31754088,-0.69579962
-0.74284241,-0.59800355,-0.60696558,-0.50910548,-0.55029872,-0.61005384,-1.17300380,-0.97074058,-1.14708414,-0.63785556,-0.79037247,-1.04124841
-1.02282295,-0.30443769,-0.37663947,-0.59929105,-0.66445559,-0.55371760,-1.15934374,-1.06799485,-1.14875058,-0.42002793,-0.25114827,-1.16629765
-1.83564693,-0.06101984,-0.06906151,-0.80787002,-0.63580096,-0.48802622,-1.19268291,-0.93546801,-1.63641179,-0.64195784,-0.16442817,-1.53679274
